timestamp,uptime_seconds,elapsed_seconds,total_devices,active_clients,connected_devices,successful_publishes,failed_publishes,failed_devices,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,messages_per_second,bandwidth_mbps,avg_send_rate_per_device,avg_messages_per_device
2025-12-04T01:16:16.449816+00:00,43.27,43.270543,20,20,20,60,0,0,8.5776,8.1127,15.2833,16.551,1.3866,0.001742,0.06933123071739589,3.0
2025-12-04T01:16:46.451001+00:00,73.27,73.271728,20,20,20,120,0,0,14.8645,11.0825,33.9534,47.8727,1.6377,0.002057,0.08188697283077588,6.0
2025-12-04T01:17:16.452156+00:00,103.27,103.272883,20,20,20,180,0,0,11.6969,8.8699,29.7461,43.9708,1.743,0.002186,0.08714775591187864,9.0
2025-12-04T01:17:46.453297+00:00,133.27,133.274024,20,20,20,240,0,0,10.3313,7.5757,29.4296,41.5789,1.8008,0.002262,0.09004005161575972,12.0
2025-12-04T01:18:16.454382+00:00,163.28,163.275109,20,20,20,300,0,0,9.134,6.3032,29.0035,40.0001,1.8374,0.00231,0.09186948391502835,15.0
2025-12-04T01:18:46.456157+00:00,193.28,193.276884,20,20,20,360,0,0,8.2207,5.3171,27.1496,38.3729,1.8626,0.002344,0.09313064049604608,18.0
2025-12-04T01:19:16.456739+00:00,223.28,223.277466,20,20,20,420,0,0,7.5227,4.6832,26.3203,36.9573,1.8811,0.002367,0.09405337840944504,21.0
2025-12-04T01:19:46.457725+00:00,253.28,253.278452,20,20,20,480,0,0,7.1422,4.5116,24.0062,36.0004,1.8951,0.002385,0.0947573700426754,24.0
2025-12-04T01:20:16.458375+00:00,283.28,283.279102,20,20,20,540,0,0,7.0491,4.4739,23.4902,35.5936,1.9062,0.0024,0.09531236088146029,27.0
2025-12-04T01:20:46.459181+00:00,313.28,313.279908,20,20,20,600,0,0,6.942,4.3882,23.4297,35.6814,1.9152,0.002412,0.09576100871429011,30.0
2025-12-04T01:21:16.460045+00:00,343.28,343.280772,20,20,20,660,0,0,7.3507,4.5116,26.453,36.3194,1.9226,0.002422,0.09613122170443032,33.0
2025-12-04T01:21:46.460977+00:00,373.28,373.281704,20,20,20,720,0,0,7.0849,4.4287,26.2738,35.6546,1.9288,0.00243,0.09644190865566774,36.0
2025-12-04T01:22:16.462252+00:00,403.28,403.282979,20,20,20,780,0,0,6.7571,4.1611,23.9991,35.6204,1.9341,0.002436,0.09670628821654285,39.0
2025-12-04T01:22:46.463538+00:00,433.28,433.284265,20,20,20,840,0,0,6.5637,4.1139,22.4061,35.5588,1.9387,0.002442,0.0969340532133102,42.0
2025-12-04T01:23:16.464884+00:00,463.29,463.285611,20,20,20,900,0,0,6.4023,4.1139,20.5355,35.4825,1.9426,0.002448,0.09713230657621266,45.0
2025-12-04T01:23:46.466633+00:00,493.29,493.28736,20,20,20,960,80,20,6.3748,4.2946,18.6157,34.5324,1.9461,0.002452,0.09730636519857311,48.0
2025-12-04T01:24:16.468136+00:00,523.29,523.288863,20,20,20,1020,200,20,6.2963,4.3694,17.4609,33.7449,1.9492,0.002456,0.09746051102180633,51.0
2025-12-04T01:24:46.469273+00:00,553.29,553.29,20,20,20,1080,320,20,6.2712,4.4356,17.1622,33.3405,1.952,0.002459,0.09759800466301578,54.0
2025-12-04T01:25:16.470398+00:00,583.29,583.291125,20,20,20,1120,400,20,6.2713,4.4797,16.4068,33.023,1.9201,0.002419,0.09600694678836405,56.0
2025-12-04T01:25:46.471575+00:00,613.29,613.292302,20,20,20,1180,520,20,6.2682,4.5147,15.8215,32.4674,1.924,0.002424,0.09620208798903203,59.0
2025-12-04T01:26:16.473239+00:00,643.29,643.293966,20,20,20,1240,560,20,6.205,4.5445,15.728,31.9954,1.9276,0.002429,0.09637895468772359,62.0
2025-12-04T01:26:31.541655+00:00,658.36,658.362382,20,19,19,1260,560,20,6.163,4.5195,15.6994,31.8531,1.9138,0.002412,0.09569198016541594,63.0
