timestamp,uptime_seconds,total_devices,active_clients,successful_publishes,failed_publishes,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,messages_per_second
2025-10-21T22:53:47.312127+00:00,30.03,200,50,300,0,8.6634,6.9536,18.4664,20.9633,9.9916
2025-10-21T22:54:17.313920+00:00,60.03,200,50,600,0,6.4731,5.2785,15.9142,20.3625,9.9955
2025-10-21T22:54:47.315495+00:00,90.03,200,50,900,0,6.4988,4.1604,16.7276,50.7686,9.9968
2025-10-21T22:55:17.316897+00:00,120.03,200,50,1200,0,5.7205,3.6667,15.2699,41.4039,9.9975
2025-10-21T22:55:47.318442+00:00,150.03,200,50,1500,0,5.1794,3.3411,14.1311,40.5887,9.9979
2025-10-21T22:56:17.342969+00:00,180.06,200,50,1800,0,4.7673,3.1597,12.9511,22.2886,9.9969
2025-10-21T22:56:47.344338+00:00,210.06,200,100,2400,0,4.5412,3.1113,11.2994,24.6831,11.4255
2025-10-21T22:57:17.346886+00:00,240.06,200,100,3000,0,4.6429,3.2336,11.2492,22.0828,12.4969
2025-10-21T22:57:47.348879+00:00,270.06,200,100,3600,0,4.5123,3.2483,10.8814,21.0629,13.3303
2025-10-21T22:58:17.351159+00:00,300.06,200,100,4200,0,4.1951,3.0526,10.0868,19.784,13.997
2025-10-21T22:58:47.354248+00:00,330.07,200,100,4800,0,4.0367,2.9902,9.4587,18.7592,14.5425
2025-10-21T22:59:17.426174+00:00,360.14,200,104,5400,0,3.9043,2.9071,9.0901,18.7592,14.9942
2025-10-21T22:59:47.428767+00:00,390.14,200,200,6600,0,4.3158,3.0153,12.058,20.3208,16.9169
2025-10-21T23:00:17.431627+00:00,420.14,200,200,7800,0,4.3798,3.0279,12.0575,19.24,18.565
2025-10-21T23:00:47.435143+00:00,450.15,200,200,9000,0,4.4931,3.0892,12.3285,18.7808,19.9934
2025-10-21T23:01:17.439583+00:00,480.15,200,200,10200,0,4.4511,3.0815,12.1469,18.2637,21.2432
2025-10-21T23:01:47.446313+00:00,510.16,200,200,11400,0,4.586,3.1507,12.3814,20.8568,22.346
2025-10-21T23:02:17.453758+00:00,540.17,200,200,12600,0,4.5631,3.1151,12.6301,20.9595,23.3261
2025-10-21T23:02:47.461862+00:00,570.17,200,200,13800,0,4.4614,3.0439,12.3234,20.4339,24.2031
2025-10-21T23:03:17.313315+00:00,600.03,200,200,15000,0,4.3623,2.9765,12.0461,20.2191,24.9989
