timestamp,halow_rssi_dbm,halow_noise_dbm,halow_tx_rate_mbps,halow_rx_rate_mbps,halow_tx_bytes,halow_rx_bytes,halow_retries,halow_drops,halow_channel_active_ms,halow_channel_busy_ms,halow_channel_busy_pct
2025-12-06T13:21:23.618449,-21.0,-80.0,12.3,,4219754,451072,,2,,,
2025-12-06T13:21:26.690643,-21.0,-80.0,12.3,,4219754,451072,,2,,,
2025-12-06T13:21:29.792897,-21.0,-82.0,12.3,,4219754,451072,,2,,,
2025-12-06T13:21:32.944254,-21.0,-82.0,12.3,,4219754,451072,,2,,,
2025-12-06T13:21:36.779621,-21.0,-80.0,12.3,,4219754,451072,,2,,,
2025-12-06T13:21:39.832530,-22.0,-82.0,12.3,,4220012,451072,,2,,,
2025-12-06T13:21:42.921859,-22.0,-82.0,12.3,,4220012,451072,,2,,,
2025-12-06T13:21:46.073515,-22.0,-82.0,12.3,,4220012,451072,,2,,,
2025-12-06T13:21:49.316767,-22.0,-82.0,12.3,,4220012,451072,,2,,,
2025-12-06T13:21:52.682424,-22.0,-82.0,12.3,,4220012,451072,,2,,,
2025-12-06T13:21:55.770917,-22.0,-82.0,12.3,,4220012,451072,,2,,,
2025-12-06T13:21:58.823378,-22.0,-80.0,12.3,,4220098,451072,,2,,,
2025-12-06T13:22:02.271790,-21.0,-80.0,12.3,,4220270,451072,,2,,,
2025-12-06T13:22:05.458253,-21.0,-82.0,12.3,,4220270,451072,,2,,,
2025-12-06T13:22:08.500690,-22.0,-82.0,11.1,,4220528,451072,,2,,,
2025-12-06T13:22:11.872653,-22.0,-80.0,11.1,,4220528,451072,,2,,,
2025-12-06T13:22:15.058896,-22.0,-82.0,11.1,,4220528,451072,,2,,,
2025-12-06T13:22:18.466579,-22.0,-82.0,11.1,,4220528,451162,,2,,,
2025-12-06T13:22:21.861861,-24.0,-82.0,13.9,,4220614,451204,,2,,,
2025-12-06T13:22:24.893479,-24.0,-82.0,13.9,,4220614,451204,,2,,,
2025-12-06T13:22:27.921052,-24.0,-80.0,13.9,,4220614,451204,,2,,,
2025-12-06T13:22:31.581302,-24.0,-84.0,13.9,,4220614,451204,,2,,,
2025-12-06T13:22:34.708828,-22.0,-82.0,13.9,,4220738,451286,,2,,,
2025-12-06T13:22:38.218279,-24.0,-82.0,13.9,,4220824,451328,,2,,,
2025-12-06T13:22:42.058155,-21.0,-82.0,13.9,,4220996,451328,,2,,,
2025-12-06T13:22:45.131135,-20.0,-82.0,13.9,,4221082,451328,,2,,,
2025-12-06T13:22:48.179707,-20.0,-82.0,13.9,,4221082,451328,,2,,,
2025-12-06T13:22:51.593569,-20.0,-82.0,13.9,,4221082,451418,,2,,,
2025-12-06T13:22:54.953809,-20.0,-82.0,13.9,,4221082,451418,,2,,,
2025-12-06T13:22:58.222771,-20.0,-82.0,13.9,,4221168,451460,,2,,,
2025-12-06T13:23:01.414547,-20.0,-82.0,13.9,,4221168,451460,,2,,,
2025-12-06T13:23:04.546752,-21.0,-82.0,13.9,,4221426,451460,,2,,,
2025-12-06T13:23:08.175123,-21.0,-80.0,13.9,,4221686,451624,,2,,,
2025-12-06T13:23:11.469202,-22.0,-82.0,13.9,,4222202,451624,,2,,,
2025-12-06T13:23:14.531176,-21.0,-84.0,13.9,,4222288,451666,,2,,,
2025-12-06T13:23:17.602482,-21.0,-80.0,13.9,,4222288,451666,,2,,,
2025-12-06T13:23:20.933859,-21.0,-80.0,13.9,,4222288,451666,,2,,,
2025-12-06T13:23:24.177094,-21.0,-82.0,13.9,,4222288,451666,,2,,,
2025-12-06T13:23:27.532272,-21.0,-82.0,13.9,,4222288,451666,,2,,,
2025-12-06T13:23:30.602764,-21.0,-78.0,13.9,,4222288,451666,,2,,,
2025-12-06T13:23:33.847209,-22.0,-80.0,13.9,,4222546,451666,,2,,,
2025-12-06T13:23:38.113775,-22.0,-78.0,13.9,,4222546,451666,,2,,,
2025-12-06T13:23:41.273930,-22.0,-80.0,13.9,,4222546,451666,,2,,,
2025-12-06T13:23:44.305193,-22.0,-82.0,13.9,,4222546,451666,,2,,,
2025-12-06T13:23:47.595871,-22.0,-84.0,13.9,,4222546,451666,,2,,,
2025-12-06T13:23:50.963749,-42.0,-82.0,13.9,,4222804,451666,,2,,,
