timestamp,halow_rssi_dbm,halow_noise_dbm,halow_tx_rate_mbps,halow_rx_rate_mbps,halow_tx_bytes,halow_rx_bytes,halow_retries,halow_drops
2025-12-05T15:17:16.253877,-31.0,-80.0,15.4,,2790050,311070,,2
2025-12-05T15:17:19.459600,-33.0,-82.0,15.4,,2790308,311070,,2
2025-12-05T15:17:22.593066,-32.0,-80.0,13.9,,2790480,311070,,2
2025-12-05T15:17:25.524065,-31.0,-80.0,13.9,,2790566,311070,,2
2025-12-05T15:17:29.286910,-31.0,-82.0,13.9,,2790566,311070,,2
2025-12-05T15:17:32.357120,-31.0,-82.0,13.9,,2790566,311070,,2
2025-12-05T15:17:35.421526,-31.0,-82.0,13.9,,2790566,311070,,2
2025-12-05T15:17:38.480298,-31.0,-82.0,13.9,,2790566,311070,,2
2025-12-05T15:17:42.019601,-31.0,-80.0,13.9,,2790566,311070,,2
2025-12-05T15:17:45.047303,-33.0,-84.0,12.5,,2790824,311070,,2
2025-12-05T15:17:48.141353,-33.0,-82.0,13.9,,2790824,311070,,2
2025-12-05T15:17:51.104671,-33.0,-82.0,13.9,,2790824,311070,,2
2025-12-05T15:17:54.745867,-33.0,-80.0,13.9,,2790824,311070,,2
2025-12-05T15:17:57.800383,-31.0,-82.0,13.9,,2790824,311160,,2
2025-12-05T15:18:00.719967,-30.0,-82.0,13.9,,2790910,311250,,2
2025-12-05T15:18:03.679767,-31.0,-82.0,12.3,,2791168,311292,,2
2025-12-05T15:18:06.939226,-31.0,-80.0,12.3,,2791168,311292,,2
2025-12-05T15:18:10.034244,-31.0,-82.0,12.3,,2791168,311292,,2
2025-12-05T15:18:13.239507,-32.0,-80.0,12.3,,2791292,311374,,2
2025-12-05T15:18:16.145363,-30.0,-82.0,13.9,,2791416,311456,,2
2025-12-05T15:18:19.221914,-31.0,-80.0,13.9,,2791502,311498,,2
2025-12-05T15:18:22.608942,-33.0,-84.0,13.9,,2791846,311498,,2
2025-12-05T15:18:25.607916,-31.0,-82.0,13.9,,2792018,311498,,2
2025-12-05T15:18:28.684061,-31.0,-82.0,13.9,,2792018,311498,,2
2025-12-05T15:18:32.097955,-31.0,-80.0,13.9,,2792018,311498,,2
2025-12-05T15:18:35.360664,-31.0,-82.0,13.9,,2792018,311498,,2
2025-12-05T15:18:38.484576,-31.0,-82.0,13.9,,2792018,311498,,2
2025-12-05T15:18:41.409289,-31.0,-80.0,13.9,,2792018,311498,,2
2025-12-05T15:18:44.673104,-31.0,-80.0,13.9,,2792018,311498,,2
2025-12-05T15:18:47.840909,-31.0,-80.0,13.9,,2792018,311498,,2
2025-12-05T15:18:50.841110,-31.0,-82.0,13.9,,2792018,311498,,2
2025-12-05T15:18:54.082457,-31.0,-80.0,13.9,,2792018,311498,,2
2025-12-05T15:18:57.199999,-31.0,-82.0,13.9,,2792018,311498,,2
2025-12-05T15:19:00.260560,-31.0,-84.0,13.9,,2792018,311498,,2
2025-12-05T15:19:03.240341,-31.0,-82.0,13.9,,2792104,311498,,2
2025-12-05T15:19:06.264666,-31.0,-80.0,15.4,,2792276,311498,,2
2025-12-05T15:19:09.286587,-31.0,-82.0,15.4,,2792276,311498,,2
2025-12-05T15:19:12.721500,-31.0,-82.0,15.4,,2792276,311498,,2
2025-12-05T15:19:15.749572,-31.0,-82.0,15.4,,2792276,311498,,2
2025-12-05T15:19:18.743268,-31.0,-82.0,15.4,,2792276,311498,,2
2025-12-05T15:19:21.740333,-31.0,-82.0,15.4,,2792276,311498,,2
2025-12-05T15:19:25.399439,-31.0,-84.0,15.4,,2792620,311498,,2
2025-12-05T15:19:28.462208,-30.0,-84.0,13.9,,2792792,311498,,2
2025-12-05T15:19:31.532183,-30.0,-84.0,13.9,,2792792,311498,,2
2025-12-05T15:19:34.727708,-31.0,-80.0,12.3,,2793050,311498,,2
2025-12-05T15:19:38.365828,-31.0,-80.0,12.3,,2793050,311498,,2
2025-12-05T15:19:41.370750,-31.0,-80.0,12.3,,2793050,311498,,2
2025-12-05T15:19:44.422572,-31.0,-80.0,12.3,,2793050,311498,,2
2025-12-05T15:19:47.606102,-31.0,-80.0,12.3,,2793050,311498,,2
2025-12-05T15:19:51.165399,-31.0,-84.0,12.3,,2793050,311498,,2
2025-12-05T15:19:54.298411,-48.0,-82.0,12.3,,2793136,311512,,2
2025-12-05T15:19:57.410567,-30.0,-84.0,12.3,,2793308,311602,,2
2025-12-05T15:20:00.445776,-30.0,-82.0,12.3,,2793394,311644,,2
2025-12-05T15:20:04.192118,-30.0,-82.0,12.3,,2793394,311644,,2
2025-12-05T15:20:07.313061,-30.0,-82.0,12.3,,2793394,311644,,2
2025-12-05T15:20:10.280296,-30.0,-82.0,12.3,,2793394,311644,,2
2025-12-05T15:20:13.523152,-48.0,-80.0,15.4,,2793912,311808,,2
2025-12-05T15:20:17.032281,-30.0,-82.0,15.4,,2793912,311808,,2
